oaci;nombre;departamento;pista_1;pista_2;tora_1;tora_2;toda_1;toda_2;asda_1;asda_2;lda_1;lda_2;elevacion;ancho;temperatura
SKAD;ACANDI;CHOCO;17;35;1200;1200;1200;1200;1200;1200;1200;1200;50;16;27
SKAG;AGUACHICA;CESAR;12;30;1310;1310;1310;1310;1310;1310;1310;1310;700;25;32
SKAM;AMALFI;ANTIOQUIA;15;33;970;970;970;970;970;970;970;970;4831;20;22
SKAP;APIAY;META;10;28;2500;2500;2500;2500;2760;2750;2500;2500;1235;20;30
SKAC;ARARACUARA;CAQUETA;11;29;1262;1262;1262;1262;1262;1262;1262;1262;807;28;32
SKUC;ARAUCA;ARAUCA;11;29;2100;2100;2100;2100;2100;2100;2100;2100;423;30;35
SKAT;ARAUQUITA;ARAUCA;7;25;960;960;960;960;960;960;960;960;509;12;25
SKAR;ARMENIA;QUINDIO;2;20;7611;7611;2320;2320;2320;2320;2320;2320;4057;36;29
SKBS;BAHIA SOLANO;CHOCO;18;36;1200;1200;1200;1200;1200;1200;1200;1200;79;30;30
SKEJ;BARRANCABERMEJA;SANTANDER;4;22;1800;1800;1800;1800;1800;1800;1800;1800;397;45;36
SKBM;BARRANCO MINAS;GUAINIA;9;27;1303;1303;1303;1303;1303;1303;1303;1303;388;28;35
SKBQ;BARRANQUILLA;ATLANTICO;5;23;3000;3000;3150;3000;3000;3000;3000;3000;98;45;33
SKBE;BECERRIL;CESAR;13;31;1300;1300;1300;1300;1300;1300;1300;1300;320;27;29
SKBR;BERASTEGUI;CORDOBA;7;25;1530;1530;1530;1530;1530;1530;1530;1530;48;20;30
SKBO;BOGOTA;CUNDINAMARCA;13R/31L;13L/31R;3800;3800;4100;4100;3860;3860;3800;3800;8360;45;20
SKBG;BUCARAMANGA;SANTANDER;35;17;2159;2309;2309;2369;2219;2309;2159;2159;3902;45;28
SKBU;BUENAVENTURA;VALLE;9;27;1200;1200;1200;1200;1200;1200;1200;1200;48;30;34
SKBN;BUENAVISTA;GUAJIRA;3;21;1420;1420;1420;1420;1420;1420;1420;1420;850;30;30
SKAL;CALENTURITAS;CESAR;3;21;800;800;800;800;800;800;800;800;219,82;18;30
SKCL;CALI;VALLE;1;19;3000;3000;3060;3060;3000;3000;3000;3000;3165;45;33
SKDU;CAÑO GANDUL;CASANARE;4;22;600;600;600;600;600;600;600;600;431;16;24
SKAA;CAÑO GARZA;CASANARE;3;21;640;640;640;640;640;640;640;640;530;15;25
SKCA;CAPURGANA;CHOCO;3;21;950;950;950;950;950;950;950;950;12;10;27
SKLC;CAREPA;ANTIOQUIA;15;33;1964;1964;2114;2024;1964;1964;1964;1964;52;45;34
SKCI;CARIMAGUA;META;4;22;1336;1336;1336;1336;1336;1336;1336;1336;629;23;33
SKCB;CARMEN DE BOLIVAR;BOLIVAR;3;21;1500;1500;1500;1500;1500;1500;1500;1500;590;28;29
SKCG;CARTAGENA;BOLIVAR;1;19;2540;2540;2540;2540;2540;2540;2540;2540;7;45;32
SKGO;CARTAGO;VALLE;1;19;2140;2140;2140;2140;2140;2140;2110;2110;2979;40;26
SKCR;CARURU;VAUPES;11;29;1000;1000;1000;1000;1000;1000;1000;1000;646;20;28
SKCU;CAUCASIA;ANTIOQUIA;2;20;1080;1080;1080;1080;1080;1080;1080;1080;177;23;29
SKHA;CHAPARRAL;TOLIMA;9;27;1200;1200;1200;1200;1200;1200;1200;1200;2729;15;30
SKIG;CHIGORODO;ANTIOQUIA;16;34;840;840;840;840;840;840;840;840;170;18;28
SKCM;CIMITARRA;SANTANDER;16;34;1500;1500;1500;1500;1500;1500;1500;1500;735;40;27
SKCD;CONDOTO;CHOCO;9;27;1150;1150;1150;1150;1150;1150;1150;1150;166;18;28
SKRO;COROCORA;CASANARE;4;22;740;740;740;740;740;740;740;740;430;18;28
SKCZ;COROZAL;SUCRE;3;21;1595;1650;1710;1710;1650;1650;1445;1445;565;30;35
SKCV;COVEÑAS;SUCRE;24;6;1230;1230;1230;1230;1230;1230;1230;1230;81;28;33
SKCN;CRAVO NORTE;ARAUCA;5;23;1122;1122;1122;1122;1122;1122;1122;1122;336;18;27
SKCE;CRUZ VERDE;TOLIMA;14;32;640;640;640;640;640;640;640;640;3041;10;22
SKCC;CUCUTA;NORTE DE S.;16/34;03/21;2320;2320;2320;2070;2320;1920;2320;1920;1098;45;34
SKUM;CUMARIBO;VICHADA;2;20;900;900;900;900;900;900;900;900;547;15;28
SKCP;CUPICA;CHOCO;3;21;870;870;870;870;870;870;870;870;16;15;35
SKCS;CUSIANA;CASANARE;8;26;700;700;700;700;700;700;700;700;886;10;26
SKEB;EL BAGRE;ANTIOQUIA;1;19;1300;1300;1300;1300;1300;1300;1300;1300;180;15;28
SKBC;EL BANCO;MAGDALENA;11;29;1225;1225;1225;1225;1225;1225;1225;1225;110;28;30
SKEO;EL BORAL;CASANARE;5;23;600;600;600;600;600;600;600;600;442;15;26
SKLB;EL BORREGO;CESAR;18;36;1500;1500;1500;1500;1500;1500;1500;1500;252,62;29;32
SKEH;EL CHARCO;NARIÑO;16;34;800;800;800;800;800;800;800;800;32;12;28
SKER;EL PORVENIR;CASANARE;1;19;300;300;300;300;300;300;300;300;176;10;27
SKVI;EL VISO;HUILA;12;30;600;600;600;600;600;600;600;600;1683;10;26
